Group,Name,Job,Required Rank,Description,Cooldown,Icon
jump,Efficient Route,Hyperwarp Navigator,1,Methodical planning of Hyperwarp Jumps reduces fuel cost by 4 + Navigation skill,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/3/32/Talent_nav_cheapjump_normal.png?version=a2d58fb80c3bf6adb46fadb1b4da3b14
,Engine Precision,Mechanic,1,"Buffs Ship with +2 Reactor Pts, +20% Defense, Self-inflicts +10 Component Dmg/Turn for next 2 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Engine Reboot,Mechanic,5,Repairs Ship Engine up to 10% plus Repair Skill,9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
spy,Espionage Sweep,Spy,1,"When Spying in the orbit of a system, remove a risk card",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/5b/Talent_spy_remove_normal.png?version=4b844ee2bb66b698a04ff693685fa5c0
,Evasive Maneuvers,Pilot,1,"Buffs Ship with +25% Defense, +5% Shield, +10% Armor for next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
skill save,Exacting Design,Hyperwarp Navigator,1,"Automatically passes a failed Tactics test in any situation, including on patrol, deep space travel, or during a mission",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/59/Talent_skill_tactics_normal.png?version=6def976abf99910fc95233f98034c254
skill save,Expert Maneuver,Pilot,1,"Automatically passes a failed Pilot test in any situation, including deep space travel, landing, or hyperwarp travel",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/d/dd/Talent_skill_pilot_normal.png?version=8b55f962c2bb2c5bb7219c11b4b33607
skill save,Expert Planning,Military Officer,1,"Automatically passes a failed Tactics test in any situation, including on patrol, deep space travel, or during a mission",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/59/Talent_skill_tactics_normal.png?version=6def976abf99910fc95233f98034c254
destroy,Expert Scavenger,Mechanic,1,"Salvage the wreck of a destroyed ship for valuable scrap, add 10% + Repair Skill to your profits and repair equal % of your own Hull",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/58/Talent_victory_scavenge_normal.png?version=ca0ac0d8f6f2c562919a4da484f8503a
,Expose Quality,Diplomat,1,Empathetic sense grants Wisdom % to reveal a Contact's hidden Traits during any interaction where money changes hands,26 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
xeno,Face the Terror,Explorer,8,"When encountering a xeno ship in space combat, prevents Morale loss on up to Explorer Skill number of crew",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Fading Shot,Pistoleer,1,"In crew combat, Pistol Attack, retreats 1 slot. Successful attack Buffs yourself with +25% Ranged Accuracy, +25% Armor for 3 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Failsafe Protocols,Crew Dog,1,Purges Ship of any Crippling Ship Effects,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
encounter,Faked Signature,Smuggler,5,Confusing or forged credentials are enough to throw even the most dogged pursuer; can be used to reduce the hostility of Bounty Hunters,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
encounter,Faked Signature,Spy,8,Confusing or forged credentials are enough to throw even the most dogged pursuer; can be used to reduce the hostility of Bounty Hunters,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/4/4c/Talent_spy_forged_normal.png?version=a678cf3ca8787e3bdb6bd5dbdebf98b7
encounter,Faked Signature,Pirate,8,Confusing or forged credentials are enough to throw even the most dogged pursuer; can be used to reduce the hostility of Bounty Hunters,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/7/74/Talent_pirate_sigjam_normal.png?version=2b4cc963c3317363c98cd50984e253fe
skill save,Famous Fury,Zealot,1,"Automatically passes a failed Intimidate test in any situation, including deep space travel, mutiny, or during a mission",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/5b/Talent_skill_intimidate_normal.png?version=a55df50007953cd4adede8e7d8b2f8c1
victory,Fanatical Court,Zealot,15,"Upon defeating an enemy captain during a Conflict, seize their ship through a local prize court. We must pay the court 65% of the ship's value in tithes and fees and we will lose 60 Reputation with the enemy while striking a mighty blow in the Conflict",36 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/3/35/Talent_prize_ship_zealot_normal.png?version=b55be62ffd2faba684672dc52a0764d4
blockade,Fanatical Siege,Zealot,5,"During a Blockade of a system, replace a risk card with a Tithe or Influence Conflict reward card.",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/a/a2/Talent_blockade_money_normal.png?version=17f4f4bf215aa19cf48ca3e41a545958
jump,Far Voyager,Explorer,1,"An expert rover knows the ins and outs of the Hyperwarp, reduces fuel cost by 2 + Explore Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/23/Talent_explorer_voyager_normal.png?version=8704fd26f0f38b18b83093914640e481
,Fast Getaway,Hyperwarp Navigator,1,"Rapid Navigation calculations make for a quick escape. Buffs Ship with +5% Armor, +20 Escape for next 2 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Fearsome Charge,Soldier,11,"In crew combat, Rifle Attack, advances 1 slot. Successful attack Buffs yourself with +25% All Damage, +25% Critical for 3 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
boarding,Ferocious Crossfire,Soldier,5,"After a successful Boarding, spraying corridor and decks with hexshell fire and leaves a trail of wounded; 4 enemy crew suffer 30-50 Damage",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/d/df/Talent_boarding_soldier_crossfire_normal.png?version=eb10a78bb948fa1887dede52466013cf
on init,Ferocity,Soldier,1,"When making Initiative Roll in Crew Combat, Buff yourself with -10% Ranged Accuracy, +30% Ranged Damage, +15% Critical, -25% Dodge for 3 Turns",Chance to activate at the start of each combat turn,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Fervor,Zealot,8,"In crew combat, Removes all Debuffs; Buffs 3 targets with +2 Initiative for 3 Turns and Restores (10 + 0 Command) Morale",Costs 6 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Field Surgery,Doctor,1,"In crew combat, Removes all Debuffs; Heals (20 HP + 0 Doctor) HP",Costs 6 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Firing Orders,Gunner,11,"Buffs Ship with +35% Accuracy, +35% Dmg for next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
skill save,First Aid,Combat Medic,1,"Automatically passes a failed Doctor test in any situation, including onboard healing, saving lives in accidents, or while exploring",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/6/69/Talent_skill_doctor_normal.png?version=7445532b258060da90a5ab7374ed8891
,Flash Fury,Swordsman,5,"In crew combat, Blade Attack with +25% Armor Piercing, +25% Critical and removes all Buffs from target, knocks target back 1 slot",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Flatline,Combat Medic,8,"In crew combat, Removes all Debuffs/Buffs; Restores entire team (10 + 0 Doctor) Morale",Costs 14 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
encounter,Forged Permit,Smuggler,5,Well-forged documents can open doors; can be used to reduce the hostility of military ships encountered in travel,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Frag Grenade,Bounty Hunter,11,"In crew combat, Grenade Attack hits 2 targets with 31-60 Dmg and Cripples with -2 Initiative, +20 Bleeding, -30% Deflection, -20% Armor for 3 Turns",Costs 16 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
spice,Friendly Banter,Merchant,1,"When passing the Spice plate, you have a Charisma % chance to learn about a Contact from the idle banter in the Hall",13 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Frontline Brave,Soldier,8,"In crew combat, Buffs entire team with +2 Initiative, +10% All Damage, +10% Critical, +10% Armor for 3 Turns",Costs 12 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Full Auto,Soldier,8,"In crew combat, Rifle Attack hits 2 targets with +15% Ranged Damage, +10% Armor Piercing, +25% Critical. Successful attack Debuffs yourself with -25% Ranged Accuracy, -25% All Damage, -10% Dodge for 2 Turns",Costs 2X Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Furious Prodding,Pirate,1,"Purges your Ship's Crew of any Crippling Effects, Restores Intimidate Skill worth of Morale to 10 Crew",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
,Garbled Identity,Smuggler,5,"Masks ship's signal to prevent identification. When ending a ship encounter in a draw, reduce possible Reputation damage by up to Stealth Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/f/f7/Talent_smuggler_signjam_normal.png?version=2ca4c5116628203addff8ebda84f9372
trade,Garner Favor,Merchant,5,"When executing a trade at the Exchange worth over $5,000, gain Reputation up to your Negotiate Skill with the local Faction",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/1/16/Talent_increase_exchange_rep_normal.png?version=cf966704b9761701ed06165585a7b94c
pay,Generosity,Merchant,5,"When paying your crew, increase Morale bonus for those paid. Any Morale penalty for any unpaid crew is reduced",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/3/33/Talent_increase_pay_morale2_normal.png?version=93fab65203c035393e667e3374828adc
landing,Generous in Service,Doctor,8,"If ship's Medical Rating exceeds landing zone's Economy Rating, provides free care to citizenry and gain Rep up to half Medical Rating",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
patrol,Guardian Vigil,Military Officer,11,"When Patrolling a system, replace a risk card with Mission success reward card.",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/4/4c/Talent_patrol_mission_normal.png?version=3debfea39018654e292cfad6cdba127c
,Guided Fire,Pilot,1,"Buffs Ship with +15% Accuracy, +10% Critical for next 3 Turns",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
skill save,Gut Instinct,Explorer,1,Automatically passes a failed Explore test in any situation; including Exploration or during a mission,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/e/e8/Talent_skill_explorer_normal.png?version=77cc70106c11a2cf4fcfde042269e84a
pay,Hand that Feeds,Diplomat,5,"When paying your crew, increase Morale bonus for those paid. Any Morale penalty for any unpaid crew is reduced",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/f/f3/Talent_increase_pay_morale_normal.png?version=c19668ed6b8400baf081ed76268ae5fd
new ship,Hard Bargain,Engineer,8,"When buying a new ship, gain a discount up to Repair Skill with maximum of 15%",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/0/04/Talent_money_newship_normal.png?version=723b85444c6650e62455cc460d23513b
xeno,Hardened Soul,Exo-Scout,5,CURRENTLY NOT IMPLEMENTED. Fires on encountering a Xeno Craft;,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
blockade,Hawkish Siege,Crew Dog,5,"When Blockading a system, reroll a card.",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/f/f0/Talent_blockade_reroll_normal.png?version=636914f94daaf7707c5551624c906f23
upgrade,Helpful Hands,Mechanic,8,Discounts any upgrade of a ship component at the Starport by 10% + Repair Skill,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/6/69/Talent_money_upgrade_normal.png?version=81ecc9d81f9bd9b8bd79ebbeed3e683b
searched,Hideout,Smuggler,1,"Prevents seizure of packages, prisoners or passengers when searched by an enemy vessel",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
spy,High Stakes,Spy,11,"When Spying in the orbit of a system, increase all Intel rewards by 30% + Electronics Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/e/e6/Talent_spy_passive_double_normal.png?version=947a2966462ed0cb367d785ad54bb29b
,Honorable Release,Military Officer,8,"Increase profit when ransoming defeated ship back to their Faction by 10% + Command Skill, plus Wisdom % chance to gain small Reputation bonus",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
skill save,Hotwire,Electronics Tech,1,"Automatically passes a failed Electronics test in any situation, including spying, deep space travel, or during a mission",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2c/Talent_skill_eletrconics_normal.png?version=5821944e61d5759876cebcf4dd58269a
,Hunter's Challenge,Bounty Hunter,5,"In crew combat, intimidating command causes 20 (+Intimidate) Morale Loss, pulls target forward 1 slot",Costs 12 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
skill save,Icy Stare,Pirate,1,"Automatically passes a failed Intimidate test in any situation, including deep space travel, mutiny, or during a mission",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/5b/Talent_skill_intimidate_normal.png?version=a55df50007953cd4adede8e7d8b2f8c1
smuggle,Illicit Notoriety,Smuggler,1,"When accessing a Black Market, always gain access at one Access Level higher",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/6/67/Talent_blackmarket_passive_normal.png?version=ef0a8be066a98e433884a3ed9d913805
,Incite Victory,Military Officer,11,"Buffs Ship with +20% Boarding, +25% Accuracy, +25% Dmg, +25% Critical for next 3 Turns, Restores Command Skill worth of Morale to 10 Crew",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_badge_shipcombat.png?version=4f4a71340a5cbf567660c4bccf50c8f6
blockade,Infamous Presence,Pirate,5,"During Blockade of a system, increase reward by 10% + Intimidate Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/4/42/Talent_blockade_passive_bonus_normal.png?version=bbd06b9cf1177bd26df33018aa2e054e
on init,Infliction Rage,Zealot,11,"When making Initiative Roll in Crew Combat, Buff yourself with +3 Initiative, +25% All Damage, +25% Armor for 3 Turns, Restores (5 + 0 Intimidate) Morale",Chance to activate at the start of each combat turn,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
smuggle,Insider Trading,Smuggler,8,"When executing a trade at the Black Market worth over $5,000, gain Reputation up to your Negotiate Skill with your Contact",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/5/5b/Talent_increase_blackmarket_rep_normal.png?version=8122c577c1e234b9e04fc4c0bd731a84
encounter,Jettison Cargo,Merchant,5,Dumping one randomized type of our ship's cargo into space buys time to escape a Pirate before Ship Combat starts,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/80/Talent_merchant_jettison_normal.png?version=2952a97847652f03ecee6d7aa5a3bdec
explore,Keen Senses,Exo-Scout,5,"While Exploring a Wild Zone, reroll any card",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/1/1d/Talent_explorer_reroll_normal.png?version=08c8e7d1c2a1ece0a0bcbd70598fafed
,Killer's Aim,Spy,11,"In crew combat, Requires Stealth Mode active; Buff yourself with +2 Initiative, +20% Armor Piercing, +35% Critical for 3 Turns",Costs 6 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Know Thy Enemy,Exo-Scout,8,"In crew combat against xeno only, Crippling Rifle Attack causes -25% Deflection, -25% Dodge, -40% Armor, -16 Plasma Shielding for 3 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
permit,Known Trader,Merchant,1,Discounts price for trading Permit by 10% + Negotiate Skill. Contact spends Charisma % less Reputation,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/1/11/Talent_money_permit_normal.png?version=b09153133249e15a08c00613dd2a9ed0
,Leader in the Ranks,Military Officer,5,"In crew combat, Removes all Debuffs; Restores entire team (10 + 0 Tactics) Morale",Costs 12 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
explore,Legacy Seeker,Explorer,8,"While Exploring a Wild Zone, replace a risk with a reward card",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/7/70/Talent_explorer_upgrade_normal.png?version=6febe6c8bb29102c4d62475a1eb94e7d
,Legal Pressure,Diplomat,8,Increase profit when ransoming defeated ship back to their Faction by 10% + Intimidate Skill,9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/e/e1/Talent_increase_ransom_normal.png?version=cb652c7268a335582f71b106ad42476f
mutiny,Lethal Example,Pirate,8,Outright killing the lowest Morale mutineer sets a cruel example and reminds the crew who is in charge. The mutiny ends and Morale of the entire crew is increased by 20 + Intimidate Skill,26 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/6/6a/Talent_pirate_lethal_example_normal.png?version=2326e77574cc919c7d738c31b7228c15
,Lethal Trap,Bounty Hunter,1,"In crew combat, Crippling Rifle Attack; successful hit Pins Target and causes -20% Deflection, -10% Armor for 3 Turns",Costs Weapon's Initiative to use (No Valid Weapon),https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
,Life Saver,Doctor,5,"Saves a life during ship combat, blockade, spying, patrol or black market. Crew member is restored to HP equal to Doctor Skill + 3 x Medical Rating of onboard medical components",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Lifeline,Combat Medic,8,"In crew combat, Buffs with +2 Initiative, +10% Armor Piercing, +50% To Resist Debuffs for 3 Turns and Heals (36 + 0 Doctor) HP",Costs 12 Initiative to use,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/85/Talent_badge_crewcombat.png?version=d4dc696fe041acbc6e999a0fa69c3934
landing,Listening Post,Electronics Tech,8,"Upon landing in an Urban Zone, 10% + Electronics Skill chance of learning about a new Contact by snooping on local transmissions",13 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/82/Talent_elo_listening_normal.png?version=328f75ee2912fac548f39a388eef1a08
victory,Loot Armory,Gunner,1,"Expert in all military hardware, looting a captured vessel repairs up to 3 of your Ship's Weapon Components by 10% + Gunnery Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/8/83/Talent_victory_battle_weapons_normal.png?version=2bba93964cb39b90e88283c88bae9fbb
victory,Loyalty Rousing,Commander,1,"Upon defeating enemy ship, you give an inspiring speech which causes up to 10 crew gain 10 + Command Skill in Morale",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/b/bb/Talent_commander_loyalty_normal.png?version=4919885e53363f36ef2f69bf46286807
trade,Lucrative Wholesale,Merchant,11,"When executing a trade at the Exchange worth over $50,000, generates Intel Records up to Negotiate Skill from market insight",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/9/98/Talent_trade_create_intel_normal.png?version=132d9889d0d730835c50802063e855cb
victory,Magnanimous Victory,Diplomat,8,"Forgiving and charitable even in victory over another ship, negates Reputation damage up to your Negotiate Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
wild,Makeshift Repairs,Explorer,5,"Upon landing in a Wild Zone, effects small repairs to damaged components equal to Richness rating up to Explore Skill",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Mark the Beast,Explorer,11,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
trade,Market Confidant,Merchant,1,"When executing a trade at the Exchange worth over $5,000, you have a 10% + Charisma chance of gaining an introduction to a Contact from the local Faction",9 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
skill save,Medical Staff,Doctor,1,"Automatically passes a failed Doctor test in any situation, including onboard healing, saving lives in accidents, or while exploring",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/6/69/Talent_skill_doctor_normal.png?version=7445532b258060da90a5ab7374ed8891
victory,Medical Ward,Doctor,5,"Upon defeating an enemy ship, heal 3 crew, or up to (Medical Rating x 3) on ships with advanced medical facilities. Each patient gains 10 + Doctor Skill in HP",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/3/32/Talent_victory_health_normal.png?version=5420e4670c81ce5f9ae38bbf2ede1ddb
mission,Menacing Demeanor,Pirate,8,"When completing steps in a Mission, your status as a known scoundrel mitigates your Reputation loss by up to Intimidate Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
meteor,Meteor Defense,Gunner,5,Reduces damage caused to your ship and crew from a Meteor Storm in orbit of a system by up to Gunnery Skill,2 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
,Methodical Maintenance,Crew Dog,8,CURRENTLY NOT IMPLEMENTED. This Talent is not implemented and has no working features at this time.,3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/2d/Talent_fire_normal.png?version=2e1dd7ae1a4dea71d8c71d0c85f6e7d8
patrol,Methodical Sweep,Crew Dog,1,"When Patrolling a system, reroll a card.",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/2/29/Talent_patrol_reroll_normal.png?version=d5c5e9f6d249ff64d1efc3d0021b0ea1
patrol,Militant Patrol,Military Officer,1,"When Patrolling a system, increase rewards by 10% + Command Skill",3 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/a/ac/Talent_patrol_passive_bonus_normal.png?version=46d2d47f2857b16818e0042aa2207bfd
mutiny,Military Discipline,Military Officer,8,Barked orders and rigid authority can snap a mutiny in seconds. The mutiny ends and Morale of entire crew is increased by 10 + Command skill,26 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/e/e3/Talent_mo_military_discipline_normal.png?version=358b1e0378ccd96de8f7d835d34f2998
victory,Military Tribunal,Military Officer,15,"Upon defeating an enemy captain during a Conflict, seize their ship through a local prize court. We must pay the court 75% of the ship's value in tithes and fees and we will lose 40 Reputation with the enemy while striking a mighty blow in the Conflict",36 weeks Cooldown,https://d1u5p3l4wpay3k.cloudfront.net/startraders_gamepedia_en/7/7f/Talent_prize_ship_milofficer_normal.png?version=c41c23243c3ded9ca151d747b63242c6
